role,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
property,hasbody,hasbody,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
property,hasvintageyear,hasvintageyear,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
property,hasvintageyear,hasvintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9429; levenshtein=0.7143; semantic=0.8555; sequence_match=0.8333,False,0.8772,False,gold already mapped to 'hasvintageyear'
property,haswinedescriptor,chooses,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6022; levenshtein=0.1176; semantic=0.4946; sequence_match=0.3333,False,0.4767,False,top-3 avg score 0.4767 < final_threshold 0.6
property,haswinedescriptor,hasregion,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6176; levenshtein=0.3529; semantic=0.4233; sequence_match=0.3846,False,0.4752,False,top-3 avg score 0.4752 < final_threshold 0.6
property,yearvalue,hasvintage,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6148; levenshtein=0.2000; semantic=0.5776; sequence_match=0.1053,False,0.4642,False,top-3 avg score 0.4642 < final_threshold 0.6
property,haswinedescriptor,hasqualityrating,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5688; levenshtein=0.2353; semantic=0.5088; sequence_match=0.3030,False,0.4602,False,top-3 avg score 0.4602 < final_threshold 0.6
property,yearvalue,hasgrapevariety,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5778; levenshtein=0.2667; semantic=0.4689; sequence_match=0.3333,False,0.4600,False,top-3 avg score 0.4600 < final_threshold 0.6
property,yearvalue,hasbouquet,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5444; levenshtein=0.2000; semantic=0.5169; sequence_match=0.3158,False,0.4590,False,top-3 avg score 0.4590 < final_threshold 0.6
property,hasbody,changeswith,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5671; levenshtein=0.2727; semantic=0.4761; sequence_match=0.3333,False,0.4588,False,top-3 avg score 0.4588 < final_threshold 0.6
property,hasbody,chooses,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5079; levenshtein=0.0000; semantic=0.5626; sequence_match=0.2857,False,0.4521,False,top-3 avg score 0.4521 < final_threshold 0.6
property,yearvalue,usedtomake,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5444; levenshtein=0.2000; semantic=0.4916; sequence_match=0.3158,False,0.4506,False,top-3 avg score 0.4506 < final_threshold 0.6
property,hasvintageyear,chooses,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5476; levenshtein=0.0714; semantic=0.5147; sequence_match=0.2857,False,0.4493,False,top-3 avg score 0.4493 < final_threshold 0.6
property,haswinedescriptor,usedtomake,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4647; levenshtein=0.1765; semantic=0.5090; sequence_match=0.3704,False,0.4480,False,top-3 avg score 0.4480 < final_threshold 0.6
property,yearvalue,hasqualityrating,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5560; levenshtein=0.1250; semantic=0.5320; sequence_match=0.2400,False,0.4427,False,top-3 avg score 0.4427 < final_threshold 0.6
property,yearvalue,hascharacteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4766; levenshtein=0.1765; semantic=0.5133; sequence_match=0.3077,False,0.4325,False,top-3 avg score 0.4325 < final_threshold 0.6
property,madefromgrape,hasvintageyear,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5189; levenshtein=0.1429; semantic=0.5224; sequence_match=0.2222,False,0.4212,False,top-3 avg score 0.4212 < final_threshold 0.6
property,hasvintageyear,usedtomake,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4786; levenshtein=0.2143; semantic=0.5561; sequence_match=0.1667,False,0.4163,False,top-3 avg score 0.4163 < final_threshold 0.6
property,madefromgrape,hasvintage,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4859; levenshtein=0.2308; semantic=0.5194; sequence_match=0.1739,False,0.4120,False,top-3 avg score 0.4120 < final_threshold 0.6
property,madefromgrape,hascharacteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4929; levenshtein=0.1765; semantic=0.4680; sequence_match=0.2667,False,0.4092,False,top-3 avg score 0.4092 < final_threshold 0.6
property,yearvalue,hascolor,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4907; levenshtein=0.2222; semantic=0.4874; sequence_match=0.2353,False,0.4045,False,top-3 avg score 0.4045 < final_threshold 0.6
property,madefromgrape,hasregion,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5134; levenshtein=0.2308; semantic=0.3980; sequence_match=0.2727,False,0.3947,False,top-3 avg score 0.3947 < final_threshold 0.6
property,madefromgrape,hascolor,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4241; levenshtein=0.2308; semantic=0.5167; sequence_match=0.1905,False,0.3906,False,top-3 avg score 0.3906 < final_threshold 0.6
property,madefromgrape,hasbody,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4420; levenshtein=0.1538; semantic=0.5089; sequence_match=0.2000,False,0.3836,False,top-3 avg score 0.3836 < final_threshold 0.6
property,madefromgrape,hasqualityrating,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4359; levenshtein=0.1875; semantic=0.4925; sequence_match=0.2069,False,0.3784,False,top-3 avg score 0.3784 < final_threshold 0.6
property,madefromgrape,hasbouquet,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3991; levenshtein=0.1538; semantic=0.5551; sequence_match=0.1739,False,0.3761,False,top-3 avg score 0.3761 < final_threshold 0.6
property,hasbody,usedtomake,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4651; levenshtein=0.1000; semantic=0.5371; sequence_match=0.1176,False,0.3733,False,top-3 avg score 0.3733 < final_threshold 0.6
property,yearvalue,chooses,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4180; levenshtein=0.0000; semantic=0.4746; sequence_match=0.1250,False,0.3392,False,top-3 avg score 0.3392 < final_threshold 0.6
property,yearvalue,hasbody,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4180; levenshtein=0.1111; semantic=0.4626; sequence_match=0.1250,False,0.3352,False,top-3 avg score 0.3352 < final_threshold 0.6
property,yearvalue,hasregion,jaro_winkler+semantic+levenshtein,jaro_winkler=0.4444; levenshtein=0.1111; semantic=0.4076; sequence_match=0.1111,False,0.3211,False,top-3 avg score 0.3211 < final_threshold 0.6
property,madefromgrape,changeswith,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3901; levenshtein=0.0000; semantic=0.4062; sequence_match=0.1667,False,0.3210,False,top-3 avg score 0.3210 < final_threshold 0.6
property,madefromgrape,chooses,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3132; levenshtein=0.0769; semantic=0.5135; sequence_match=0.1000,False,0.3089,False,top-3 avg score 0.3089 < final_threshold 0.6
property,yearvalue,changeswith,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3013; levenshtein=0.0909; semantic=0.4384; sequence_match=0.1000,False,0.2799,False,top-3 avg score 0.2799 < final_threshold 0.6
