prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,has measurement,has measurement,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has billing period,has billing event,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.8842; levenshtein=0.6875; semantic=0.6772; sequence_match=0.7097,False,0.7604,True,selected
ObjectProperty,makes measurement,measures water property,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6627; levenshtein=0.3333; semantic=0.7626; sequence_match=0.4865,False,0.6373,False,top-3 avg score 0.6373 < final_threshold 0.7
ObjectProperty,is measured by device,measures aspect,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6233; levenshtein=0.5000; semantic=0.7108; sequence_match=0.5625,False,0.6322,False,top-3 avg score 0.6322 < final_threshold 0.7
ObjectProperty,has duration,has geolocation,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.6829; levenshtein=0.5714; semantic=0.4752; sequence_match=0.6400,False,0.6314,False,top-3 avg score 0.6314 < final_threshold 0.7
ObjectProperty,has measurement,measures water property,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6183; levenshtein=0.3333; semantic=0.7518; sequence_match=0.5143,False,0.6281,False,top-3 avg score 0.6281 < final_threshold 0.7
ObjectProperty,has duration,has temporal setting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6987; levenshtein=0.3889; semantic=0.6119; sequence_match=0.5517,False,0.6208,False,top-3 avg score 0.6208 < final_threshold 0.7
ObjectProperty,makes measurement,measured water property,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6159; levenshtein=0.2857; semantic=0.7503; sequence_match=0.4865,False,0.6176,False,top-3 avg score 0.6176 < final_threshold 0.7
ObjectProperty,has measurement,measured water property,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5635; levenshtein=0.3333; semantic=0.7620; sequence_match=0.5143,False,0.6133,False,top-3 avg score 0.6133 < final_threshold 0.7
ObjectProperty,is measured by device,measured water property,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6207; levenshtein=0.3810; semantic=0.7474; sequence_match=0.4615,False,0.6099,False,top-3 avg score 0.6099 < final_threshold 0.7
ObjectProperty,hasGeometry,has measurement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6829; levenshtein=0.3571; semantic=0.6420; sequence_match=0.4800,False,0.6016,False,top-3 avg score 0.6016 < final_threshold 0.7
ObjectProperty,feature is measured by device,measured aspect,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6623; levenshtein=0.4000; semantic=0.6242; sequence_match=0.5128,False,0.5998,False,top-3 avg score 0.5998 < final_threshold 0.7
ObjectProperty,has duration,has measurement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6829; levenshtein=0.3571; semantic=0.6359; sequence_match=0.4800,False,0.5996,False,top-3 avg score 0.5996 < final_threshold 0.7
ObjectProperty,hasGeometry,has billing event,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7907; levenshtein=0.2667; semantic=0.4662; sequence_match=0.5385,False,0.5985,False,top-3 avg score 0.5985 < final_threshold 0.7
ObjectProperty,feature is measured by device,has measurement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5904; levenshtein=0.4000; semantic=0.6867; sequence_match=0.5128,False,0.5966,False,top-3 avg score 0.5966 < final_threshold 0.7
ObjectProperty,measurement made by,has water property measurement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6057; levenshtein=0.2593; semantic=0.6634; sequence_match=0.5000,False,0.5897,False,top-3 avg score 0.5897 < final_threshold 0.7
ObjectProperty,has measurement,has sensor type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6456; levenshtein=0.4286; semantic=0.5931; sequence_match=0.5185,False,0.5858,False,top-3 avg score 0.5858 < final_threshold 0.7
ObjectProperty,feature is measured by device,measures aspect,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6124; levenshtein=0.4000; semantic=0.6612; sequence_match=0.4615,False,0.5784,False,top-3 avg score 0.5784 < final_threshold 0.7
ObjectProperty,has duration,has actuator type,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6702; levenshtein=0.3333; semantic=0.5000; sequence_match=0.5385,False,0.5696,False,top-3 avg score 0.5696 < final_threshold 0.7
ObjectProperty,has property,measures water property,sequence_match+semantic+jaro_winkler,jaro_winkler=0.5137; levenshtein=0.4762; semantic=0.5670; sequence_match=0.6250,False,0.5686,False,top-3 avg score 0.5686 < final_threshold 0.7
ObjectProperty,has phenomenon time,has temporal setting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6618; levenshtein=0.3333; semantic=0.6391; sequence_match=0.4000,False,0.567,False,top-3 avg score 0.5670 < final_threshold 0.7
ObjectProperty,has measurement,has tariff assignment,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.6802; levenshtein=0.4737; semantic=0.4585; sequence_match=0.5455,False,0.5664,False,top-3 avg score 0.5664 < final_threshold 0.7
ObjectProperty,has measurement,has temporal setting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7956; levenshtein=0.3889; semantic=0.4617; sequence_match=0.4375,False,0.565,False,top-3 avg score 0.5650 < final_threshold 0.7
ObjectProperty,has property,measured water property,sequence_match+semantic+jaro_winkler,jaro_winkler=0.5137; levenshtein=0.4762; semantic=0.5531; sequence_match=0.6250,False,0.564,False,top-3 avg score 0.5640 < final_threshold 0.7
ObjectProperty,is measured by device,measures water property,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5601; levenshtein=0.3333; semantic=0.7133; sequence_match=0.4103,False,0.5612,False,top-3 avg score 0.5612 < final_threshold 0.7
ObjectProperty,has property,has measurement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6025; levenshtein=0.3571; semantic=0.5990; sequence_match=0.4800,False,0.5605,False,top-3 avg score 0.5605 < final_threshold 0.7
ObjectProperty,has property,has actuator type,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6534; levenshtein=0.4000; semantic=0.4891; sequence_match=0.5385,False,0.5603,False,top-3 avg score 0.5603 < final_threshold 0.7
ObjectProperty,has phenomenon time,has measurement,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6675; levenshtein=0.3529; semantic=0.4967; sequence_match=0.5161,False,0.5601,False,top-3 avg score 0.5601 < final_threshold 0.7
ObjectProperty,has period,has temporal setting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6270; levenshtein=0.3333; semantic=0.6083; sequence_match=0.4444,False,0.5599,False,top-3 avg score 0.5599 < final_threshold 0.7
ObjectProperty,has period,has sensor type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6538; levenshtein=0.3846; semantic=0.5510; sequence_match=0.4545,False,0.5531,False,top-3 avg score 0.5531 < final_threshold 0.7
ObjectProperty,hasGeometry,has temporal setting,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6987; levenshtein=0.3889; semantic=0.4743; sequence_match=0.4828,False,0.5519,False,top-3 avg score 0.5519 < final_threshold 0.7
ObjectProperty,feature is measured by device,has water property measurement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5852; levenshtein=0.2593; semantic=0.6080; sequence_match=0.4615,False,0.5516,False,top-3 avg score 0.5516 < final_threshold 0.7
ObjectProperty,has period,has geolocation,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6429; levenshtein=0.4286; semantic=0.4861; sequence_match=0.5217,False,0.5502,False,top-3 avg score 0.5502 < final_threshold 0.7
ObjectProperty,has duration,measures aspect,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6580; levenshtein=0.2857; semantic=0.5101; sequence_match=0.4800,False,0.5494,False,top-3 avg score 0.5494 < final_threshold 0.7
ObjectProperty,feature is measured by device,measured water property,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5994; levenshtein=0.3200; semantic=0.6573; sequence_match=0.3913,False,0.5493,False,top-3 avg score 0.5493 < final_threshold 0.7
ObjectProperty,has phenomenon time,has sensor type,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6537; levenshtein=0.4706; semantic=0.5080; sequence_match=0.4667,False,0.5441,False,top-3 avg score 0.5441 < final_threshold 0.7
ObjectProperty,has period,has indicator,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6667; levenshtein=0.4167; semantic=0.5474; sequence_match=0.3810,False,0.5436,False,top-3 avg score 0.5436 < final_threshold 0.7
ObjectProperty,has period,has measurement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6376; levenshtein=0.3571; semantic=0.5576; sequence_match=0.4348,False,0.5433,False,top-3 avg score 0.5433 < final_threshold 0.7
ObjectProperty,has duration,measured aspect,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6645; levenshtein=0.2857; semantic=0.4785; sequence_match=0.4800,False,0.541,False,top-3 avg score 0.5410 < final_threshold 0.7
ObjectProperty,is measured by device,has water property measurement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5386; levenshtein=0.2222; semantic=0.6821; sequence_match=0.4000,False,0.5402,False,top-3 avg score 0.5402 < final_threshold 0.7
ObjectProperty,feature is measured by device,measures water property,semantic+jaro_winkler+levenshtein,jaro_winkler=0.6232; levenshtein=0.3600; semantic=0.6288; sequence_match=0.3478,False,0.5373,False,top-3 avg score 0.5373 < final_threshold 0.7
ObjectProperty,has duration,measured water property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6611; levenshtein=0.2857; semantic=0.5019; sequence_match=0.4375,False,0.5335,False,top-3 avg score 0.5335 < final_threshold 0.7
ObjectProperty,has property,has temporal setting,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6406; levenshtein=0.3889; semantic=0.4725; sequence_match=0.4828,False,0.5319,False,top-3 avg score 0.5319 < final_threshold 0.7
ObjectProperty,has duration,has sensor type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6297; levenshtein=0.3077; semantic=0.5477; sequence_match=0.4167,False,0.5314,False,top-3 avg score 0.5314 < final_threshold 0.7
ObjectProperty,has key performance indicator,has measurement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6454; levenshtein=0.3462; semantic=0.5470; sequence_match=0.4000,False,0.5308,False,top-3 avg score 0.5308 < final_threshold 0.7
ObjectProperty,hasGeometry,has indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6263; levenshtein=0.3333; semantic=0.5308; sequence_match=0.4348,False,0.5306,False,top-3 avg score 0.5306 < final_threshold 0.7
ObjectProperty,has property,has geolocation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6025; levenshtein=0.3571; semantic=0.5892; sequence_match=0.4000,False,0.5305,False,top-3 avg score 0.5305 < final_threshold 0.7
ObjectProperty,has duration,measures water property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6566; levenshtein=0.2857; semantic=0.4936; sequence_match=0.4375,False,0.5292,False,top-3 avg score 0.5292 < final_threshold 0.7
ObjectProperty,hasGeometry,has water property measurement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6598; levenshtein=0.2963; semantic=0.5039; sequence_match=0.4211,False,0.5283,False,top-3 avg score 0.5283 < final_threshold 0.7
ObjectProperty,has billing period,has temporal setting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6450; levenshtein=0.2778; semantic=0.5210; sequence_match=0.4118,False,0.5259,False,top-3 avg score 0.5259 < final_threshold 0.7
ObjectProperty,has measurement,has geolocation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6190; levenshtein=0.2857; semantic=0.5244; sequence_match=0.4286,False,0.524,False,top-3 avg score 0.5240 < final_threshold 0.7
ObjectProperty,has key performance indicator,has temporal setting,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6382; levenshtein=0.3846; semantic=0.4251; sequence_match=0.5000,False,0.5211,False,top-3 avg score 0.5211 < final_threshold 0.7
ObjectProperty,has measurement,has indicator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5873; levenshtein=0.2143; semantic=0.5887; sequence_match=0.3846,False,0.5202,False,top-3 avg score 0.5202 < final_threshold 0.7
ObjectProperty,has measurement,has billing event,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.6079; levenshtein=0.4667; semantic=0.4517; sequence_match=0.4828,False,0.5191,False,top-3 avg score 0.5191 < final_threshold 0.7
ObjectProperty,has property,has billing event,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5960; levenshtein=0.2667; semantic=0.5724; sequence_match=0.3846,False,0.5177,False,top-3 avg score 0.5177 < final_threshold 0.7
ObjectProperty,has key performance indicator,has water property measurement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6435; levenshtein=0.2222; semantic=0.4848; sequence_match=0.4151,False,0.5145,False,top-3 avg score 0.5145 < final_threshold 0.7
ObjectProperty,hasGeometry,assigned tariff,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6580; levenshtein=0.2857; semantic=0.4029; sequence_match=0.4800,False,0.5136,False,top-3 avg score 0.5136 < final_threshold 0.7
ObjectProperty,has billing period,has indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6389; levenshtein=0.3750; semantic=0.4726; sequence_match=0.4286,False,0.5133,False,top-3 avg score 0.5133 < final_threshold 0.7
ObjectProperty,has phenomenon time,has geolocation,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6500; levenshtein=0.4118; semantic=0.4362; sequence_match=0.4516,False,0.5126,False,top-3 avg score 0.5126 < final_threshold 0.7
ObjectProperty,has property,has indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6263; levenshtein=0.3333; semantic=0.5553; sequence_match=0.3478,False,0.5098,False,top-3 avg score 0.5098 < final_threshold 0.7
ObjectProperty,has key performance indicator,has geolocation,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6330; levenshtein=0.3077; semantic=0.4438; sequence_match=0.4500,False,0.5089,False,top-3 avg score 0.5089 < final_threshold 0.7
ObjectProperty,hasGeometry,measured aspect,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5693; levenshtein=0.2143; semantic=0.5575; sequence_match=0.4000,False,0.5089,False,top-3 avg score 0.5089 < final_threshold 0.7
ObjectProperty,has duration,has tariff assignment,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6744; levenshtein=0.3684; semantic=0.4521; sequence_match=0.4000,False,0.5089,False,top-3 avg score 0.5089 < final_threshold 0.7
ObjectProperty,has billing period,assigned tariff,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6071; levenshtein=0.3125; semantic=0.4518; sequence_match=0.4667,False,0.5085,False,top-3 avg score 0.5085 < final_threshold 0.7
ObjectProperty,hasGeometry,has actuator type,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6534; levenshtein=0.4000; semantic=0.4691; sequence_match=0.3077,False,0.5075,False,top-3 avg score 0.5075 < final_threshold 0.7
ObjectProperty,has key performance indicator,has actuator type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6279; levenshtein=0.2308; semantic=0.4499; sequence_match=0.4390,False,0.5056,False,top-3 avg score 0.5056 < final_threshold 0.7
ObjectProperty,hasGeometry,measures aspect,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5693; levenshtein=0.2143; semantic=0.5459; sequence_match=0.4000,False,0.5051,False,top-3 avg score 0.5051 < final_threshold 0.7
ObjectProperty,has phenomenon time,has billing event,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6357; levenshtein=0.2941; semantic=0.4845; sequence_match=0.3750,False,0.4984,False,top-3 avg score 0.4984 < final_threshold 0.7
ObjectProperty,has billing period,has sensor type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6218; levenshtein=0.2500; semantic=0.4535; sequence_match=0.4138,False,0.4964,False,top-3 avg score 0.4964 < final_threshold 0.7
ObjectProperty,hasGeometry,has tariff assignment,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5726; levenshtein=0.2105; semantic=0.4408; sequence_match=0.4667,False,0.4933,False,top-3 avg score 0.4933 < final_threshold 0.7
ObjectProperty,has duration,assigned tariff,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6829; levenshtein=0.2143; semantic=0.3937; sequence_match=0.4000,False,0.4922,False,top-3 avg score 0.4922 < final_threshold 0.7
ObjectProperty,has key performance indicator,measured aspect,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6618; levenshtein=0.2308; semantic=0.4601; sequence_match=0.3500,False,0.4906,False,top-3 avg score 0.4906 < final_threshold 0.7
ObjectProperty,has key performance indicator,has sensor type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6179; levenshtein=0.2692; semantic=0.4864; sequence_match=0.3590,False,0.4878,False,top-3 avg score 0.4878 < final_threshold 0.7
ObjectProperty,makes measurement,has sensor type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5634; levenshtein=0.3125; semantic=0.5531; sequence_match=0.3448,False,0.4871,False,top-3 avg score 0.4871 < final_threshold 0.7
ObjectProperty,hasGeometry,measured water property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5137; levenshtein=0.2857; semantic=0.5047; sequence_match=0.4375,False,0.4853,False,top-3 avg score 0.4853 < final_threshold 0.7
ObjectProperty,hasGeometry,measures water property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5137; levenshtein=0.2857; semantic=0.5035; sequence_match=0.4375,False,0.4849,False,top-3 avg score 0.4849 < final_threshold 0.7
ObjectProperty,has billing period,has geolocation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6240; levenshtein=0.3750; semantic=0.4279; sequence_match=0.4000,False,0.484,False,top-3 avg score 0.4840 < final_threshold 0.7
ObjectProperty,has period,has actuator type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5630; levenshtein=0.2667; semantic=0.4721; sequence_match=0.4167,False,0.4839,False,top-3 avg score 0.4839 < final_threshold 0.7
ObjectProperty,has billing period,billed water meter,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5298; levenshtein=0.1875; semantic=0.5421; sequence_match=0.3750,False,0.4823,False,top-3 avg score 0.4823 < final_threshold 0.7
ObjectProperty,applies to,has indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5907; levenshtein=0.3333; semantic=0.4725; sequence_match=0.3810,False,0.4814,False,top-3 avg score 0.4814 < final_threshold 0.7
ObjectProperty,has period,assigned tariff,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5873; levenshtein=0.2857; semantic=0.4190; sequence_match=0.4348,False,0.4804,False,top-3 avg score 0.4804 < final_threshold 0.7
ObjectProperty,has phenomenon time,has water property measurement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5939; levenshtein=0.3333; semantic=0.4341; sequence_match=0.4091,False,0.479,False,top-3 avg score 0.4790 < final_threshold 0.7
ObjectProperty,makes measurement,has tariff assignment,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6047; levenshtein=0.3684; semantic=0.4319; sequence_match=0.4000,False,0.4789,False,top-3 avg score 0.4789 < final_threshold 0.7
ObjectProperty,applies to,assigned tariff,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5709; levenshtein=0.2143; semantic=0.5167; sequence_match=0.3478,False,0.4785,False,top-3 avg score 0.4785 < final_threshold 0.7
ObjectProperty,has phenomenon time,has tariff assignment,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5566; levenshtein=0.2632; semantic=0.4330; sequence_match=0.4444,False,0.478,False,top-3 avg score 0.4780 < final_threshold 0.7
ObjectProperty,has period,has billing event,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5630; levenshtein=0.2667; semantic=0.5334; sequence_match=0.3333,False,0.4766,False,top-3 avg score 0.4766 < final_threshold 0.7
ObjectProperty,has phenomenon time,has indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5621; levenshtein=0.2941; semantic=0.5221; sequence_match=0.3448,False,0.4763,False,top-3 avg score 0.4763 < final_threshold 0.7
ObjectProperty,makes measurement,billed water meter,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5833; levenshtein=0.1875; semantic=0.5304; sequence_match=0.3125,False,0.4754,False,top-3 avg score 0.4754 < final_threshold 0.7
ObjectProperty,has property,has tariff assignment,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5059; levenshtein=0.2632; semantic=0.5200; sequence_match=0.4000,False,0.4753,False,top-3 avg score 0.4753 < final_threshold 0.7
ObjectProperty,has period,has tariff assignment,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6062; levenshtein=0.2632; semantic=0.4620; sequence_match=0.3571,False,0.4751,False,top-3 avg score 0.4751 < final_threshold 0.7
ObjectProperty,has measurement,has actuator type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6599; levenshtein=0.2667; semantic=0.4885; sequence_match=0.2759,False,0.4747,False,top-3 avg score 0.4747 < final_threshold 0.7
ObjectProperty,has key performance indicator,measures aspect,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5847; levenshtein=0.2308; semantic=0.4884; sequence_match=0.3500,False,0.4744,False,top-3 avg score 0.4744 < final_threshold 0.7
ObjectProperty,has property,measures aspect,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5469; levenshtein=0.3571; semantic=0.4718; sequence_match=0.4000,False,0.4729,False,top-3 avg score 0.4729 < final_threshold 0.7
ObjectProperty,has period,has water property measurement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6314; levenshtein=0.2222; semantic=0.4418; sequence_match=0.3333,False,0.4688,False,top-3 avg score 0.4688 < final_threshold 0.7
ObjectProperty,applies to,has geolocation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5873; levenshtein=0.2857; semantic=0.4675; sequence_match=0.3478,False,0.4675,False,top-3 avg score 0.4675 < final_threshold 0.7
ObjectProperty,isKPIOf,composed of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5738; levenshtein=0.3000; semantic=0.4748; sequence_match=0.3529,False,0.4672,False,top-3 avg score 0.4672 < final_threshold 0.7
ObjectProperty,applies to,has billing event,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5630; levenshtein=0.2667; semantic=0.4168; sequence_match=0.4167,False,0.4655,False,top-3 avg score 0.4655 < final_threshold 0.7
ObjectProperty,has billing period,has tariff assignment,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6047; levenshtein=0.2105; semantic=0.5047; sequence_match=0.2857,False,0.465,False,top-3 avg score 0.4650 < final_threshold 0.7
ObjectProperty,measurement made by,has sensor type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5287; levenshtein=0.2353; semantic=0.4645; sequence_match=0.4000,False,0.4644,False,top-3 avg score 0.4644 < final_threshold 0.7
ObjectProperty,has duration,has water property measurement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5843; levenshtein=0.2222; semantic=0.4912; sequence_match=0.3158,False,0.4638,False,top-3 avg score 0.4638 < final_threshold 0.7
ObjectProperty,has property,measured aspect,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5469; levenshtein=0.3571; semantic=0.4443; sequence_match=0.4000,False,0.4637,False,top-3 avg score 0.4637 < final_threshold 0.7
