gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
RedWine,Red Wine,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
VintageYear,Vintage Year,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
WhiteWine,White Wine,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
WineColor,Wine Color,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
wine,Wine,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Region,Wine Region,semantic+sequence_match+jaro_winkler,jaro_winkler=0.7000; levenshtein=0.6000; semantic=0.8215; sequence_match=0.7500,False,0.7572,True,selected
wine,Red Wine,semantic+sequence_match+levenshtein,jaro_winkler=0.4643; levenshtein=0.5714; semantic=0.8511; sequence_match=0.7273,False,0.7166,False,gold already mapped to 'Wine'
WineGrape,Wine Region,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8670; levenshtein=0.4000; semantic=0.7423; sequence_match=0.5263,False,0.7119,False,pred already taken by 'Region' (higher averaged score)
WineGrape,Wine Color,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8222; levenshtein=0.4444; semantic=0.7574; sequence_match=0.5556,False,0.7117,False,pred already taken by 'WineColor' (higher averaged score)
WineBody,Wine Color,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8361; levenshtein=0.5556; semantic=0.6950; sequence_match=0.5882,False,0.7065,False,pred already taken by 'WineColor' (higher averaged score)
WhiteWine,Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6944; levenshtein=0.4444; semantic=0.7946; sequence_match=0.6154,False,0.7015,False,gold already mapped to 'White Wine'
wine,White Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6944; levenshtein=0.4444; semantic=0.7946; sequence_match=0.6154,False,0.7015,False,gold already mapped to 'Wine'
WineSugar,Wine Color,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8222; levenshtein=0.5556; semantic=0.6949; sequence_match=0.5556,False,0.6909,False,pred already taken by 'WineColor' (higher averaged score)
WineDescriptor,Wine Color,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8270; levenshtein=0.5000; semantic=0.6281; sequence_match=0.6087,False,0.6879,False,pred already taken by 'WineColor' (higher averaged score)
WineBody,Wine Region,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8250; levenshtein=0.4000; semantic=0.6699; sequence_match=0.5556,False,0.6835,False,pred already taken by 'Region' (higher averaged score)
RedWine,White Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6899; levenshtein=0.4444; semantic=0.7269; sequence_match=0.6250,False,0.6806,False,gold already mapped to 'Red Wine'
WhiteWine,Red Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6899; levenshtein=0.4444; semantic=0.7269; sequence_match=0.6250,False,0.6806,False,gold already mapped to 'White Wine'
WineColor,Wine Region,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8200; levenshtein=0.5000; semantic=0.6874; sequence_match=0.5263,False,0.6779,False,gold already mapped to 'Wine Color'
WineDescriptor,Wine Region,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8493; levenshtein=0.5000; semantic=0.5955; sequence_match=0.5833,False,0.676,False,pred already taken by 'Region' (higher averaged score)
WineDescriptor,Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8571; levenshtein=0.2857; semantic=0.7084; sequence_match=0.4444,False,0.67,False,pred already taken by 'wine' (higher averaged score)
WineDescriptor,Wine Characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8248; levenshtein=0.4444; semantic=0.6771; sequence_match=0.5000,False,0.6673,False,pred already taken by 'WineTaste' (higher averaged score)
WineSugar,Wine Region,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8200; levenshtein=0.5000; semantic=0.6540; sequence_match=0.5263,False,0.6668,False,pred already taken by 'Region' (higher averaged score)
wine,Wine Characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8444; levenshtein=0.2222; semantic=0.7644; sequence_match=0.3636,False,0.6575,False,gold already mapped to 'Wine'
RedBordeaux,Red Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6450; levenshtein=0.3636; semantic=0.8567; sequence_match=0.4444,False,0.6487,False,pred already taken by 'RedWine' (higher averaged score)
WineGrape,Red Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6233; levenshtein=0.2222; semantic=0.8143; sequence_match=0.5000,False,0.6459,False,pred already taken by 'RedWine' (higher averaged score)
WineTaste,Wine Region,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6852; levenshtein=0.4000; semantic=0.7232; sequence_match=0.5263,False,0.6449,False,gold already mapped to 'Wine Characteristic'
WineGrape,Wine Characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6746; levenshtein=0.3889; semantic=0.7388; sequence_match=0.5185,False,0.644,False,pred already taken by 'WineTaste' (higher averaged score)
Region,Red Wine,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7968; levenshtein=0.4286; semantic=0.4815; sequence_match=0.6154,False,0.6313,False,gold already mapped to 'Wine Region'
WineTaste,Red Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6233; levenshtein=0.2222; semantic=0.7641; sequence_match=0.5000,False,0.6291,False,gold already mapped to 'Wine Characteristic'
RedWine,Wine Region,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7079; levenshtein=0.2000; semantic=0.6945; sequence_match=0.4706,False,0.6243,False,gold already mapped to 'Red Wine'
WineFlavor,Wine Region,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6667; levenshtein=0.5000; semantic=0.6902; sequence_match=0.5000,False,0.6189,False,pred already taken by 'Region' (higher averaged score)
WineTaste,Wine Color,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6296; levenshtein=0.4444; semantic=0.7754; sequence_match=0.4444,False,0.6165,False,gold already mapped to 'Wine Characteristic'
WineGrape,White Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6296; levenshtein=0.3333; semantic=0.7586; sequence_match=0.4444,False,0.6109,False,gold already mapped to 'Grape Variety'
WineColor,Wine Characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6667; levenshtein=0.3333; semantic=0.7046; sequence_match=0.4444,False,0.6052,False,gold already mapped to 'Wine Color'
WineTaste,White Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6370; levenshtein=0.3333; semantic=0.7233; sequence_match=0.4444,False,0.6016,False,gold already mapped to 'Wine Characteristic'
WineTaste,Vintage Year,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6818; levenshtein=0.3636; semantic=0.6155; sequence_match=0.5000,False,0.5991,False,top-3 avg score 0.5991 < final_threshold 0.6
WineBody,Red Wine,semantic+sequence_match+jaro_winkler,jaro_winkler=0.5238; levenshtein=0.1250; semantic=0.7365; sequence_match=0.5333,False,0.5979,False,top-3 avg score 0.5979 < final_threshold 0.6
Bordeaux,Body,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7667; levenshtein=0.3750; semantic=0.5258; sequence_match=0.5000,False,0.5975,False,top-3 avg score 0.5975 < final_threshold 0.6
WineSugar,Wine Characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6667; levenshtein=0.3333; semantic=0.6790; sequence_match=0.4444,False,0.5967,False,top-3 avg score 0.5967 < final_threshold 0.6
WhiteWine,Wine Region,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7300; levenshtein=0.3000; semantic=0.6344; sequence_match=0.4211,False,0.5952,False,top-3 avg score 0.5952 < final_threshold 0.6
WineFlavor,Wine Characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6444; levenshtein=0.3333; semantic=0.7115; sequence_match=0.4286,False,0.5948,False,top-3 avg score 0.5948 < final_threshold 0.6
WineSugar,Vintage Year,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6818; levenshtein=0.3636; semantic=0.5841; sequence_match=0.5000,False,0.5886,False,top-3 avg score 0.5886 < final_threshold 0.6
WhiteBordeaux,Wine Color,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6467; levenshtein=0.3077; semantic=0.6635; sequence_match=0.4545,False,0.5883,False,top-3 avg score 0.5883 < final_threshold 0.6
RedWine,Wine Color,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5053; levenshtein=0.1111; semantic=0.7585; sequence_match=0.5000,False,0.5879,False,top-3 avg score 0.5879 < final_threshold 0.6
WineColor,Red Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5053; levenshtein=0.1111; semantic=0.7585; sequence_match=0.5000,False,0.5879,False,top-3 avg score 0.5879 < final_threshold 0.6
Vintage,Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5952; levenshtein=0.4286; semantic=0.6225; sequence_match=0.5455,False,0.5877,False,top-3 avg score 0.5877 < final_threshold 0.6
Zinfandel,Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5741; levenshtein=0.3333; semantic=0.6978; sequence_match=0.4615,False,0.5778,False,top-3 avg score 0.5778 < final_threshold 0.6
VintageYear,Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6742; levenshtein=0.2727; semantic=0.6573; sequence_match=0.4000,False,0.5772,False,top-3 avg score 0.5772 < final_threshold 0.6
wine,Vintage Year,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6742; levenshtein=0.2727; semantic=0.6573; sequence_match=0.4000,False,0.5772,False,top-3 avg score 0.5772 < final_threshold 0.6
WineSugar,Red Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5053; levenshtein=0.1111; semantic=0.7257; sequence_match=0.5000,False,0.577,False,top-3 avg score 0.5770 < final_threshold 0.6
WineBody,White Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5694; levenshtein=0.3333; semantic=0.6842; sequence_match=0.4706,False,0.5748,False,top-3 avg score 0.5748 < final_threshold 0.6
WineGrape,Vintage Year,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6818; levenshtein=0.2727; semantic=0.6233; sequence_match=0.4000,False,0.5684,False,top-3 avg score 0.5684 < final_threshold 0.6
WhiteBordeaux,Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6603; levenshtein=0.2308; semantic=0.6844; sequence_match=0.3529,False,0.5659,False,top-3 avg score 0.5659 < final_threshold 0.6
WineSugar,White Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5556; levenshtein=0.2222; semantic=0.6918; sequence_match=0.4444,False,0.5639,False,top-3 avg score 0.5639 < final_threshold 0.6
WhiteWine,Wine Color,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5556; levenshtein=0.2222; semantic=0.6916; sequence_match=0.4444,False,0.5639,False,top-3 avg score 0.5639 < final_threshold 0.6
WineColor,White Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5556; levenshtein=0.2222; semantic=0.6916; sequence_match=0.4444,False,0.5639,False,top-3 avg score 0.5639 < final_threshold 0.6
RedWine,Grape Variety,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6349; levenshtein=0.2500; semantic=0.6332; sequence_match=0.4211,False,0.5631,False,top-3 avg score 0.5631 < final_threshold 0.6
WineFlavor,Red Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4905; levenshtein=0.1000; semantic=0.7184; sequence_match=0.4706,False,0.5598,False,top-3 avg score 0.5598 < final_threshold 0.6
WineFlavor,White Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5444; levenshtein=0.2000; semantic=0.6898; sequence_match=0.4211,False,0.5518,False,top-3 avg score 0.5518 < final_threshold 0.6
WineFlavor,Vintage Year,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5848; levenshtein=0.2727; semantic=0.5920; sequence_match=0.4762,False,0.551,False,top-3 avg score 0.5510 < final_threshold 0.6
Zinfandel,Red Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5873; levenshtein=0.2222; semantic=0.6783; sequence_match=0.3750,False,0.5469,False,top-3 avg score 0.5469 < final_threshold 0.6
RedWine,Wine Characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6190; levenshtein=0.1111; semantic=0.6982; sequence_match=0.3200,False,0.5457,False,top-3 avg score 0.5457 < final_threshold 0.6
WineDescriptor,Red Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6508; levenshtein=0.2143; semantic=0.6048; sequence_match=0.3810,False,0.5455,False,top-3 avg score 0.5455 < final_threshold 0.6
WineBody,Vintage Year,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6212; levenshtein=0.2727; semantic=0.5816; sequence_match=0.4211,False,0.5413,False,top-3 avg score 0.5413 < final_threshold 0.6
Zinfandel,Wine Color,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5556; levenshtein=0.2222; semantic=0.6224; sequence_match=0.4444,False,0.5408,False,top-3 avg score 0.5408 < final_threshold 0.6
VintageYear,Wine Color,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6027; levenshtein=0.2727; semantic=0.6002; sequence_match=0.4000,False,0.5343,False,top-3 avg score 0.5343 < final_threshold 0.6
WineColor,Vintage Year,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6027; levenshtein=0.2727; semantic=0.6002; sequence_match=0.4000,False,0.5343,False,top-3 avg score 0.5343 < final_threshold 0.6
WhiteBordeaux,Vintage Year,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6134; levenshtein=0.2308; semantic=0.5710; sequence_match=0.4167,False,0.5337,False,top-3 avg score 0.5337 < final_threshold 0.6
WhiteWine,Wine Characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6528; levenshtein=0.2778; semantic=0.6383; sequence_match=0.2963,False,0.5291,False,top-3 avg score 0.5291 < final_threshold 0.6
Bordeaux,Red Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4901; levenshtein=0.1250; semantic=0.6917; sequence_match=0.4000,False,0.5273,False,top-3 avg score 0.5273 < final_threshold 0.6
WineBody,Wine Characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5741; levenshtein=0.2222; semantic=0.6849; sequence_match=0.3077,False,0.5222,False,top-3 avg score 0.5222 < final_threshold 0.6
VintageYear,Wine Characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6406; levenshtein=0.2222; semantic=0.5768; sequence_match=0.3448,False,0.5207,False,top-3 avg score 0.5207 < final_threshold 0.6
Bordeaux,Bouquet,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6071; levenshtein=0.2500; semantic=0.5535; sequence_match=0.4000,False,0.5202,False,top-3 avg score 0.5202 < final_threshold 0.6
WineDescriptor,Vintage Year,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6039; levenshtein=0.2143; semantic=0.5523; sequence_match=0.4000,False,0.5187,False,top-3 avg score 0.5187 < final_threshold 0.6
Zinfandel,Vintage Year,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6027; levenshtein=0.3636; semantic=0.5515; sequence_match=0.4000,False,0.5181,False,top-3 avg score 0.5181 < final_threshold 0.6
VintageYear,Grape Variety,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6730; levenshtein=0.0833; semantic=0.6181; sequence_match=0.2609,False,0.5173,False,top-3 avg score 0.5173 < final_threshold 0.6
WhiteBordeaux,Wine Region,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6316; levenshtein=0.3077; semantic=0.5629; sequence_match=0.3478,False,0.5141,False,top-3 avg score 0.5141 < final_threshold 0.6
WhiteBordeaux,Red Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5430; levenshtein=0.1538; semantic=0.6943; sequence_match=0.3000,False,0.5125,False,top-3 avg score 0.5125 < final_threshold 0.6
RedWine,Vintage Year,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5671; levenshtein=0.0909; semantic=0.6309; sequence_match=0.3333,False,0.5104,False,top-3 avg score 0.5104 < final_threshold 0.6
VintageYear,Red Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5671; levenshtein=0.0909; semantic=0.6309; sequence_match=0.3333,False,0.5104,False,top-3 avg score 0.5104 < final_threshold 0.6
RedBordeaux,Wine Color,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5354; levenshtein=0.0000; semantic=0.6728; sequence_match=0.3000,False,0.5027,False,top-3 avg score 0.5027 < final_threshold 0.6
WineDescriptor,White Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5873; levenshtein=0.2143; semantic=0.5709; sequence_match=0.3478,False,0.502,False,top-3 avg score 0.5020 < final_threshold 0.6
Vintage,Wine Color,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5873; levenshtein=0.2222; semantic=0.5417; sequence_match=0.3750,False,0.5013,False,top-3 avg score 0.5013 < final_threshold 0.6
RedBordeaux,Grape Variety,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5571; levenshtein=0.1667; semantic=0.5848; sequence_match=0.3478,False,0.4966,False,top-3 avg score 0.4966 < final_threshold 0.6
RedBordeaux,Body,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5631; levenshtein=0.2727; semantic=0.5262; sequence_match=0.4000,False,0.4964,False,top-3 avg score 0.4964 < final_threshold 0.6
Vintage,White Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5873; levenshtein=0.2222; semantic=0.5077; sequence_match=0.3750,False,0.49,False,top-3 avg score 0.4900 < final_threshold 0.6
Vintage,Red Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4286; levenshtein=0.1429; semantic=0.6062; sequence_match=0.4286,False,0.4878,False,top-3 avg score 0.4878 < final_threshold 0.6
Vintage,Grape Variety,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5516; levenshtein=0.1667; semantic=0.5868; sequence_match=0.3158,False,0.4847,False,top-3 avg score 0.4847 < final_threshold 0.6
VintageYear,White Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6027; levenshtein=0.1818; semantic=0.5455; sequence_match=0.3000,False,0.4827,False,top-3 avg score 0.4827 < final_threshold 0.6
WhiteWine,Vintage Year,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6027; levenshtein=0.1818; semantic=0.5455; sequence_match=0.3000,False,0.4827,False,top-3 avg score 0.4827 < final_threshold 0.6
WhiteBordeaux,Wine Characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5616; levenshtein=0.2222; semantic=0.5571; sequence_match=0.3226,False,0.4804,False,top-3 avg score 0.4804 < final_threshold 0.6
VintageYear,Wine Region,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5848; levenshtein=0.2727; semantic=0.5609; sequence_match=0.2857,False,0.4771,False,top-3 avg score 0.4771 < final_threshold 0.6
Vintage,Wine Region,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5738; levenshtein=0.3000; semantic=0.4932; sequence_match=0.3529,False,0.4733,False,top-3 avg score 0.4733 < final_threshold 0.6
Vintage,Wine Characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5974; levenshtein=0.2222; semantic=0.5016; sequence_match=0.3200,False,0.473,False,top-3 avg score 0.4730 < final_threshold 0.6
Zinfandel,Wine Region,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5315; levenshtein=0.2000; semantic=0.5706; sequence_match=0.3158,False,0.4726,False,top-3 avg score 0.4726 < final_threshold 0.6
WineDescriptor,Grape Variety,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5246; levenshtein=0.2857; semantic=0.5671; sequence_match=0.3077,False,0.4665,False,top-3 avg score 0.4665 < final_threshold 0.6
Zinfandel,White Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4444; levenshtein=0.1111; semantic=0.6157; sequence_match=0.3333,False,0.4645,False,top-3 avg score 0.4645 < final_threshold 0.6
WhiteBordeaux,Body,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5513; levenshtein=0.2308; semantic=0.4851; sequence_match=0.3529,False,0.4631,False,top-3 avg score 0.4631 < final_threshold 0.6
WineBody,Grape Variety,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4722; levenshtein=0.1667; semantic=0.6068; sequence_match=0.3000,False,0.4597,False,top-3 avg score 0.4597 < final_threshold 0.6
Region,Grape Variety,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5833; levenshtein=0.2500; semantic=0.4580; sequence_match=0.3333,False,0.4582,False,top-3 avg score 0.4582 < final_threshold 0.6
WineTaste,Grape Variety,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4259; levenshtein=0.2500; semantic=0.6603; sequence_match=0.2857,False,0.4573,False,top-3 avg score 0.4573 < final_threshold 0.6
wine,Grape Variety,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4444; levenshtein=0.0833; semantic=0.6511; sequence_match=0.2500,False,0.4485,False,top-3 avg score 0.4485 < final_threshold 0.6
RedBordeaux,Bouquet,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4560; levenshtein=0.1818; semantic=0.5417; sequence_match=0.3333,False,0.4437,False,top-3 avg score 0.4437 < final_threshold 0.6
WineFlavor,Grape Variety,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4944; levenshtein=0.0833; semantic=0.6496; sequence_match=0.1818,False,0.4419,False,top-3 avg score 0.4419 < final_threshold 0.6
WineSugar,Grape Variety,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4167; levenshtein=0.0833; semantic=0.6214; sequence_match=0.2857,False,0.4413,False,top-3 avg score 0.4413 < final_threshold 0.6
Zinfandel,Wine Characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4722; levenshtein=0.2222; semantic=0.5535; sequence_match=0.2963,False,0.4407,False,top-3 avg score 0.4407 < final_threshold 0.6
WhiteWine,Grape Variety,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5278; levenshtein=0.1667; semantic=0.5836; sequence_match=0.1905,False,0.434,False,top-3 avg score 0.4340 < final_threshold 0.6
Bordeaux,Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4583; levenshtein=0.1250; semantic=0.6715; sequence_match=0.1667,False,0.4322,False,top-3 avg score 0.4322 < final_threshold 0.6
Region,White Wine,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5000; levenshtein=0.2222; semantic=0.3924; sequence_match=0.4000,False,0.4308,False,top-3 avg score 0.4308 < final_threshold 0.6
WhiteBordeaux,Grape Variety,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4637; levenshtein=0.2308; semantic=0.5967; sequence_match=0.1600,False,0.4304,False,top-3 avg score 0.4304 < final_threshold 0.6
WhiteBordeaux,Bouquet,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4597; levenshtein=0.1538; semantic=0.5303; sequence_match=0.3000,False,0.43,False,top-3 avg score 0.4300 < final_threshold 0.6
Bordeaux,Grape Variety,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4306; levenshtein=0.1667; semantic=0.5562; sequence_match=0.3000,False,0.4289,False,top-3 avg score 0.4289 < final_threshold 0.6
WineTaste,Bouquet,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5026; levenshtein=0.1111; semantic=0.5285; sequence_match=0.2500,False,0.427,False,top-3 avg score 0.4270 < final_threshold 0.6
WineColor,Grape Variety,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4630; levenshtein=0.0833; semantic=0.6253; sequence_match=0.1905,False,0.4262,False,top-3 avg score 0.4262 < final_threshold 0.6
