prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,hasSugar,has grape,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8444; levenshtein=0.3750; semantic=0.6485; sequence_match=0.6250,False,0.706,True,selected
ObjectProperty,hasVintageYear,quality rating,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6039; levenshtein=0.1429; semantic=0.5461; sequence_match=0.2963,False,0.4821,False,top-3 avg score 0.4821 < final_threshold 0.7
ObjectProperty,locatedIn,for wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5886; levenshtein=0.2222; semantic=0.4745; sequence_match=0.3750,False,0.4794,False,top-3 avg score 0.4794 < final_threshold 0.7
ObjectProperty,locatedIn,characteristic value,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6062; levenshtein=0.2105; semantic=0.4738; sequence_match=0.3571,False,0.479,False,top-3 avg score 0.4790 < final_threshold 0.7
ObjectProperty,madeFromGrape,from region,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6033; levenshtein=0.2308; semantic=0.3974; sequence_match=0.4348,False,0.4785,False,top-3 avg score 0.4785 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,characteristic value,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6049; levenshtein=0.2105; semantic=0.4970; sequence_match=0.3333,False,0.4784,False,top-3 avg score 0.4784 < final_threshold 0.7
ObjectProperty,hasBody,has characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5350; levenshtein=0.1765; semantic=0.6439; sequence_match=0.2500,False,0.4763,False,top-3 avg score 0.4763 < final_threshold 0.7
ObjectProperty,hasColor,characteristic value,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4961; levenshtein=0.2632; semantic=0.5614; sequence_match=0.3704,False,0.476,False,top-3 avg score 0.4760 < final_threshold 0.7
ObjectProperty,hasFlavor,characteristic value,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6053; levenshtein=0.2105; semantic=0.5353; sequence_match=0.2857,False,0.4754,False,top-3 avg score 0.4754 < final_threshold 0.7
ObjectProperty,locatedIn,has characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5499; levenshtein=0.2941; semantic=0.4808; sequence_match=0.3846,False,0.4718,False,top-3 avg score 0.4718 < final_threshold 0.7
ObjectProperty,hasSugar,assessed vintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5889; levenshtein=0.2000; semantic=0.4768; sequence_match=0.3478,False,0.4712,False,top-3 avg score 0.4712 < final_threshold 0.7
ObjectProperty,hasBody,assessed vintage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5429; levenshtein=0.1333; semantic=0.5446; sequence_match=0.2727,False,0.4534,False,top-3 avg score 0.4534 < final_threshold 0.7
ObjectProperty,hasBody,assessed wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5595; levenshtein=0.1667; semantic=0.4755; sequence_match=0.3158,False,0.4503,False,top-3 avg score 0.4503 < final_threshold 0.7
ObjectProperty,hasFlavor,for wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4180; levenshtein=0.0000; semantic=0.5540; sequence_match=0.3750,False,0.449,False,top-3 avg score 0.4490 < final_threshold 0.7
ObjectProperty,madeFromGrape,assessed wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4637; levenshtein=0.1538; semantic=0.6404; sequence_match=0.2400,False,0.448,False,top-3 avg score 0.4480 < final_threshold 0.7
ObjectProperty,hasColor,quality rating,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5353; levenshtein=0.0769; semantic=0.5137; sequence_match=0.2857,False,0.4449,False,top-3 avg score 0.4449 < final_threshold 0.7
ObjectProperty,hasSugar,characteristic value,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5627; levenshtein=0.2105; semantic=0.4520; sequence_match=0.2963,False,0.437,False,top-3 avg score 0.4370 < final_threshold 0.7
ObjectProperty,hasSugar,assessed wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5417; levenshtein=0.1667; semantic=0.4588; sequence_match=0.3000,False,0.4335,False,top-3 avg score 0.4335 < final_threshold 0.7
ObjectProperty,hasFlavor,assessed vintage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5111; levenshtein=0.1333; semantic=0.5358; sequence_match=0.2500,False,0.4323,False,top-3 avg score 0.4323 < final_threshold 0.7
ObjectProperty,hasFlavor,quality rating,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5007; levenshtein=0.1538; semantic=0.4952; sequence_match=0.2727,False,0.4229,False,top-3 avg score 0.4229 < final_threshold 0.7
ObjectProperty,hasBody,characteristic value,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5288; levenshtein=0.1579; semantic=0.5029; sequence_match=0.2308,False,0.4208,False,top-3 avg score 0.4208 < final_threshold 0.7
ObjectProperty,madeFromGrape,assessed vintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5650; levenshtein=0.2000; semantic=0.4754; sequence_match=0.2143,False,0.4182,False,top-3 avg score 0.4182 < final_threshold 0.7
ObjectProperty,locatedIn,has grape,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4907; levenshtein=0.0000; semantic=0.5273; sequence_match=0.2353,False,0.4178,False,top-3 avg score 0.4178 < final_threshold 0.7
ObjectProperty,hasColor,for wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4226; levenshtein=0.0000; semantic=0.5512; sequence_match=0.2667,False,0.4135,False,top-3 avg score 0.4135 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,in vintage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4766; levenshtein=0.1765; semantic=0.5175; sequence_match=0.2308,False,0.4083,False,top-3 avg score 0.4083 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,quality rating,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5493; levenshtein=0.1176; semantic=0.4703; sequence_match=0.2000,False,0.4065,False,top-3 avg score 0.4065 < final_threshold 0.7
ObjectProperty,hasColor,assessed vintage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4611; levenshtein=0.0667; semantic=0.5773; sequence_match=0.1739,False,0.4041,False,top-3 avg score 0.4041 < final_threshold 0.7
ObjectProperty,madeFromGrape,has characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4929; levenshtein=0.1765; semantic=0.4419; sequence_match=0.2667,False,0.4005,False,top-3 avg score 0.4005 < final_threshold 0.7
ObjectProperty,locatedIn,in vintage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4444; levenshtein=0.0000; semantic=0.5247; sequence_match=0.2222,False,0.3971,False,top-3 avg score 0.3971 < final_threshold 0.7
ObjectProperty,hasFlavor,from region,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4333; levenshtein=0.1000; semantic=0.4384; sequence_match=0.3158,False,0.3959,False,top-3 avg score 0.3959 < final_threshold 0.7
ObjectProperty,hasColor,assessed wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4722; levenshtein=0.0833; semantic=0.4976; sequence_match=0.2000,False,0.3899,False,top-3 avg score 0.3899 < final_threshold 0.7
ObjectProperty,madeFromGrape,characteristic value,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4813; levenshtein=0.2105; semantic=0.4334; sequence_match=0.2500,False,0.3883,False,top-3 avg score 0.3883 < final_threshold 0.7
ObjectProperty,hasBody,quality rating,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4799; levenshtein=0.0769; semantic=0.4793; sequence_match=0.2000,False,0.3864,False,top-3 avg score 0.3864 < final_threshold 0.7
ObjectProperty,hasFlavor,assessed wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4630; levenshtein=0.0833; semantic=0.4721; sequence_match=0.1905,False,0.3752,False,top-3 avg score 0.3752 < final_threshold 0.7
ObjectProperty,madeFromGrape,quality rating,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4551; levenshtein=0.0000; semantic=0.4338; sequence_match=0.2308,False,0.3732,False,top-3 avg score 0.3732 < final_threshold 0.7
ObjectProperty,hasColor,from region,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4472; levenshtein=0.1000; semantic=0.4426; sequence_match=0.2222,False,0.3707,False,top-3 avg score 0.3707 < final_threshold 0.7
ObjectProperty,madeFromGrape,in vintage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4103; levenshtein=0.1538; semantic=0.5089; sequence_match=0.1818,False,0.367,False,top-3 avg score 0.3670 < final_threshold 0.7
ObjectProperty,hasFlavor,in vintage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4074; levenshtein=0.0000; semantic=0.5779; sequence_match=0.1111,False,0.3655,False,top-3 avg score 0.3655 < final_threshold 0.7
ObjectProperty,hasSugar,in vintage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3241; levenshtein=0.1111; semantic=0.5313; sequence_match=0.2353,False,0.3635,False,top-3 avg score 0.3635 < final_threshold 0.7
ObjectProperty,hasSugar,quality rating,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4359; levenshtein=0.1538; semantic=0.4328; sequence_match=0.1905,False,0.3531,False,top-3 avg score 0.3531 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,from region,jaro_winkler+semantic+levenshtein,jaro_winkler=0.4647; levenshtein=0.1765; semantic=0.3907; sequence_match=0.1481,False,0.3439,False,top-3 avg score 0.3439 < final_threshold 0.7
ObjectProperty,hasVintageYear,from region,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3952; levenshtein=0.0714; semantic=0.4551; sequence_match=0.1667,False,0.339,False,top-3 avg score 0.3390 < final_threshold 0.7
ObjectProperty,hasBody,from region,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4143; levenshtein=0.0000; semantic=0.4237; sequence_match=0.1176,False,0.3185,False,top-3 avg score 0.3185 < final_threshold 0.7
ObjectProperty,hasSugar,from region,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3167; levenshtein=0.1000; semantic=0.3729; sequence_match=0.1111,False,0.2669,False,top-3 avg score 0.2669 < final_threshold 0.7
ObjectProperty,hasColor,in vintage,semantic+sequence_match+levenshtein,jaro_winkler=0.0000; levenshtein=0.0000; semantic=0.6460; sequence_match=0.1176,False,0.2546,False,top-3 avg score 0.2546 < final_threshold 0.7
ObjectProperty,hasBody,in vintage,semantic+sequence_match+levenshtein,jaro_winkler=0.0000; levenshtein=0.0000; semantic=0.5787; sequence_match=0.1250,False,0.2346,False,top-3 avg score 0.2346 < final_threshold 0.7
ObjectProperty,hasSugar,for wine,semantic+sequence_match+levenshtein,jaro_winkler=0.0000; levenshtein=0.0000; semantic=0.5517; sequence_match=0.1333,False,0.2283,False,top-3 avg score 0.2283 < final_threshold 0.7
ObjectProperty,hasBody,for wine,semantic+sequence_match+levenshtein,jaro_winkler=0.0000; levenshtein=0.0000; semantic=0.5002; sequence_match=0.1429,False,0.2143,False,top-3 avg score 0.2143 < final_threshold 0.7
