prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,hasVintageYear,has vintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9429; levenshtein=0.7143; semantic=0.8805; sequence_match=0.8333,False,0.8856,True,selected
ObjectProperty,hasWineDescriptor,is grape of,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4766; levenshtein=0.2941; semantic=0.5956; sequence_match=0.2308,False,0.4554,False,top-3 avg score 0.4554 < final_threshold 0.7
ObjectProperty,locatedIn,is characteristic of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4778; levenshtein=0.2778; semantic=0.4996; sequence_match=0.3704,False,0.4493,False,top-3 avg score 0.4493 < final_threshold 0.7
ObjectProperty,hasVintageYear,is grape of,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5709; levenshtein=0.2143; semantic=0.5245; sequence_match=0.1739,False,0.4366,False,top-3 avg score 0.4366 < final_threshold 0.7
ObjectProperty,hasVintageYear,is type of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5119; levenshtein=0.2143; semantic=0.5148; sequence_match=0.2727,False,0.4331,False,top-3 avg score 0.4331 < final_threshold 0.7
ObjectProperty,hasVintageYear,is characteristic of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5470; levenshtein=0.1111; semantic=0.5016; sequence_match=0.2500,False,0.4328,False,top-3 avg score 0.4328 < final_threshold 0.7
ObjectProperty,hasFlavor,is characteristic of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4778; levenshtein=0.1667; semantic=0.5177; sequence_match=0.2963,False,0.4306,False,top-3 avg score 0.4306 < final_threshold 0.7
ObjectProperty,hasColor,is vintage of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4773; levenshtein=0.0909; semantic=0.5897; sequence_match=0.2105,False,0.4258,False,top-3 avg score 0.4258 < final_threshold 0.7
ObjectProperty,hasColor,is type of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5000; levenshtein=0.1250; semantic=0.5205; sequence_match=0.2500,False,0.4235,False,top-3 avg score 0.4235 < final_threshold 0.7
ObjectProperty,hasFlavor,is vintage of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5194; levenshtein=0.1818; semantic=0.5407; sequence_match=0.2000,False,0.42,False,top-3 avg score 0.4200 < final_threshold 0.7
ObjectProperty,locatedIn,has grape,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4907; levenshtein=0.0000; semantic=0.5273; sequence_match=0.2353,False,0.4178,False,top-3 avg score 0.4178 < final_threshold 0.7
ObjectProperty,hasBody,is type of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4901; levenshtein=0.0000; semantic=0.4950; sequence_match=0.2667,False,0.4173,False,top-3 avg score 0.4173 < final_threshold 0.7
ObjectProperty,locatedIn,is vintage of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5367; levenshtein=0.0909; semantic=0.5064; sequence_match=0.2000,False,0.4144,False,top-3 avg score 0.4144 < final_threshold 0.7
ObjectProperty,madeFromGrape,has vintage,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4859; levenshtein=0.2308; semantic=0.5200; sequence_match=0.1739,False,0.4122,False,top-3 avg score 0.4122 < final_threshold 0.7
ObjectProperty,hasBody,is characteristic of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4206; levenshtein=0.1667; semantic=0.4838; sequence_match=0.3200,False,0.4082,False,top-3 avg score 0.4082 < final_threshold 0.7
ObjectProperty,madeFromGrape,is vintage of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4738; levenshtein=0.0769; semantic=0.4924; sequence_match=0.2500,False,0.4054,False,top-3 avg score 0.4054 < final_threshold 0.7
ObjectProperty,madeFromGrape,has type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4799; levenshtein=0.2308; semantic=0.4321; sequence_match=0.3000,False,0.404,False,top-3 avg score 0.4040 < final_threshold 0.7
ObjectProperty,hasColor,is grape of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4583; levenshtein=0.1111; semantic=0.5087; sequence_match=0.2353,False,0.4008,False,top-3 avg score 0.4008 < final_threshold 0.7
ObjectProperty,madeFromGrape,has characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4929; levenshtein=0.1765; semantic=0.4419; sequence_match=0.2667,False,0.4005,False,top-3 avg score 0.4005 < final_threshold 0.7
ObjectProperty,hasFlavor,is type of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4907; levenshtein=0.2222; semantic=0.4734; sequence_match=0.2353,False,0.3998,False,top-3 avg score 0.3998 < final_threshold 0.7
ObjectProperty,hasBody,is vintage of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4113; levenshtein=0.0909; semantic=0.5450; sequence_match=0.2222,False,0.3928,False,top-3 avg score 0.3928 < final_threshold 0.7
ObjectProperty,hasBody,is grape of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4762; levenshtein=0.1111; semantic=0.4522; sequence_match=0.2500,False,0.3928,False,top-3 avg score 0.3928 < final_threshold 0.7
ObjectProperty,hasFlavor,is grape of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4444; levenshtein=0.2222; semantic=0.4903; sequence_match=0.2222,False,0.3856,False,top-3 avg score 0.3856 < final_threshold 0.7
ObjectProperty,hasSugar,is characteristic of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5009; levenshtein=0.1667; semantic=0.4179; sequence_match=0.2308,False,0.3832,False,top-3 avg score 0.3832 < final_threshold 0.7
ObjectProperty,hasSugar,is vintage of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4381; levenshtein=0.0909; semantic=0.4804; sequence_match=0.2105,False,0.3764,False,top-3 avg score 0.3764 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,is type of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4060; levenshtein=0.2353; semantic=0.4604; sequence_match=0.2400,False,0.3688,False,top-3 avg score 0.3688 < final_threshold 0.7
ObjectProperty,madeFromGrape,is characteristic of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4208; levenshtein=0.1111; semantic=0.4260; sequence_match=0.2581,False,0.3683,False,top-3 avg score 0.3683 < final_threshold 0.7
ObjectProperty,locatedIn,is type of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4907; levenshtein=0.1111; semantic=0.4818; sequence_match=0.1176,False,0.3634,False,top-3 avg score 0.3634 < final_threshold 0.7
ObjectProperty,madeFromGrape,is type of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4241; levenshtein=0.0769; semantic=0.4668; sequence_match=0.1905,False,0.3605,False,top-3 avg score 0.3605 < final_threshold 0.7
ObjectProperty,locatedIn,is grape of,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4815; levenshtein=0.1111; semantic=0.4817; sequence_match=0.1111,False,0.3581,False,top-3 avg score 0.3581 < final_threshold 0.7
ObjectProperty,hasSugar,is grape of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4583; levenshtein=0.0000; semantic=0.4822; sequence_match=0.1176,False,0.3527,False,top-3 avg score 0.3527 < final_threshold 0.7
ObjectProperty,hasSugar,is type of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4167; levenshtein=0.0000; semantic=0.4059; sequence_match=0.1250,False,0.3158,False,top-3 avg score 0.3158 < final_threshold 0.7
DatatypeProperty,yearValue,has year,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6233; levenshtein=0.1111; semantic=0.7823; sequence_match=0.5000,False,0.6352,False,top-3 avg score 0.6352 < final_threshold 0.7
DatatypeProperty,yearValue,has intensity,semantic+jaro_winkler+sequence_match,jaro_winkler=0.2963; levenshtein=0.0000; semantic=0.4703; sequence_match=0.0952,False,0.2873,False,top-3 avg score 0.2873 < final_threshold 0.7
