role,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
property,hasduty,hasduty,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
property,hasconstraint,hasconstraint,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
property,hasoperator,hasoperator,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
property,consequence,hasconsequence,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8680; levenshtein=0.7857; semantic=0.9272; sequence_match=0.8800,False,0.8917,True,selected
property,hasconstraint,hasconsequence,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8374; levenshtein=0.5714; semantic=0.6348; sequence_match=0.5926,False,0.6883,False,gold already mapped to 'hasconstraint'
property,hasoperator,hasrole,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8217; levenshtein=0.3636; semantic=0.6487; sequence_match=0.5556,False,0.6753,False,gold already mapped to 'hasoperator'
property,hasaction,hasconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8260; levenshtein=0.3846; semantic=0.6452; sequence_match=0.5455,False,0.6722,False,pred already taken by 'hasconstraint' (higher averaged score)
property,hasoperator,hastype,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8061; levenshtein=0.3636; semantic=0.6419; sequence_match=0.5556,False,0.6678,False,gold already mapped to 'hasoperator'
property,haspermission,hasoperator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8075; levenshtein=0.4615; semantic=0.5869; sequence_match=0.5833,False,0.6592,False,pred already taken by 'hasoperator' (higher averaged score)
property,hasduty,hasright,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6905; levenshtein=0.3750; semantic=0.7369; sequence_match=0.5333,False,0.6536,False,gold already mapped to 'hasduty'
property,hasduty,hasremedy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6720; levenshtein=0.4444; semantic=0.6448; sequence_match=0.6250,False,0.6472,False,gold already mapped to 'hasduty'
property,hasaction,hasoperator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6818; levenshtein=0.3636; semantic=0.6441; sequence_match=0.6000,False,0.6420,False,pred already taken by 'hasoperator' (higher averaged score)
property,hasconstraint,hasoperator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6773; levenshtein=0.4615; semantic=0.6425; sequence_match=0.5833,False,0.6344,False,gold already mapped to 'hasconstraint'
property,hasoperator,hasconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6773; levenshtein=0.4615; semantic=0.6425; sequence_match=0.5833,False,0.6344,False,gold already mapped to 'hasoperator'
property,hasoperator,hasright,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6932; levenshtein=0.3636; semantic=0.6721; sequence_match=0.5263,False,0.6305,False,gold already mapped to 'hasoperator'
property,operand,hasoperator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5896; levenshtein=0.4545; semantic=0.7139; sequence_match=0.5556,False,0.6197,False,pred already taken by 'hasoperator' (higher averaged score)
property,hasprohibition,hasoperator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8072; levenshtein=0.4286; semantic=0.5670; sequence_match=0.4800,False,0.6181,False,gold already mapped to 'hasright'
property,hasaction,hasduty,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6720; levenshtein=0.4444; semantic=0.6786; sequence_match=0.5000,False,0.6168,False,gold already mapped to 'hasrole'
property,hasaction,hasconsequence,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6984; levenshtein=0.2857; semantic=0.6217; sequence_match=0.5217,False,0.6139,False,gold already mapped to 'hasrole'
property,hasaction,hastype,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6720; levenshtein=0.4444; semantic=0.6333; sequence_match=0.5000,False,0.6017,False,gold already mapped to 'hasrole'
property,haspermission,hastype,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6996; levenshtein=0.2308; semantic=0.5965; sequence_match=0.5000,False,0.5987,False,top-3 avg score 0.5987 < final_threshold 0.6
property,haspermission,hasright,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6699; levenshtein=0.3846; semantic=0.6481; sequence_match=0.4762,False,0.5981,False,top-3 avg score 0.5981 < final_threshold 0.6
property,hasprohibition,hasrole,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6905; levenshtein=0.3571; semantic=0.6221; sequence_match=0.4762,False,0.5963,False,top-3 avg score 0.5963 < final_threshold 0.6
property,hasaction,hasright,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6602; levenshtein=0.3333; semantic=0.6505; sequence_match=0.4706,False,0.5937,False,top-3 avg score 0.5937 < final_threshold 0.6
property,scope,hasoperator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7212; levenshtein=0.2727; semantic=0.5570; sequence_match=0.5000,False,0.5928,False,top-3 avg score 0.5928 < final_threshold 0.6
property,hasduty,hasrole,semantic+jaro_winkler+levenshtein,jaro_winkler=0.6190; levenshtein=0.4286; semantic=0.7193; sequence_match=0.4286,False,0.5890,False,top-3 avg score 0.5890 < final_threshold 0.6
property,hasconstraint,haslogicaloperator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6197; levenshtein=0.3333; semantic=0.6276; sequence_match=0.5161,False,0.5878,False,top-3 avg score 0.5878 < final_threshold 0.6
property,scope,hasrole,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6762; levenshtein=0.4286; semantic=0.5789; sequence_match=0.5000,False,0.5850,False,top-3 avg score 0.5850 < final_threshold 0.6
property,target,hasright,jaro_winkler+semantic+levenshtein,jaro_winkler=0.7222; levenshtein=0.5000; semantic=0.5325; sequence_match=0.1429,False,0.5849,False,top-3 avg score 0.5849 < final_threshold 0.6
property,hasduty,hasoperator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6450; levenshtein=0.3636; semantic=0.6627; sequence_match=0.4444,False,0.5840,False,top-3 avg score 0.5840 < final_threshold 0.6
property,hasoperator,hasduty,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6450; levenshtein=0.3636; semantic=0.6627; sequence_match=0.4444,False,0.5840,False,top-3 avg score 0.5840 < final_threshold 0.6
property,assignee,hasright,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6667; levenshtein=0.3750; semantic=0.5612; sequence_match=0.5000,False,0.5759,False,top-3 avg score 0.5759 < final_threshold 0.6
property,inheritsfrom,linkedto,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6806; levenshtein=0.3333; semantic=0.5451; sequence_match=0.5000,False,0.5752,False,top-3 avg score 0.5752 < final_threshold 0.6
property,scope,specifies,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6648; levenshtein=0.3333; semantic=0.6259; sequence_match=0.4286,False,0.5731,False,top-3 avg score 0.5731 < final_threshold 0.6
property,hasconstraint,hastype,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6264; levenshtein=0.3077; semantic=0.6886; sequence_match=0.4000,False,0.5716,False,top-3 avg score 0.5716 < final_threshold 0.6
property,assigner,hasright,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6667; levenshtein=0.3750; semantic=0.5481; sequence_match=0.5000,False,0.5716,False,top-3 avg score 0.5716 < final_threshold 0.6
property,hasprohibition,hasconstraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6456; levenshtein=0.3571; semantic=0.6812; sequence_match=0.3704,False,0.5657,False,top-3 avg score 0.5657 < final_threshold 0.6
property,hasprohibition,hasduty,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6190; levenshtein=0.2857; semantic=0.6964; sequence_match=0.3810,False,0.5655,False,top-3 avg score 0.5655 < final_threshold 0.6
property,hasduty,hasconstraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6264; levenshtein=0.3077; semantic=0.6626; sequence_match=0.4000,False,0.5630,False,top-3 avg score 0.5630 < final_threshold 0.6
property,hasconstraint,hasduty,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6264; levenshtein=0.3077; semantic=0.6626; sequence_match=0.4000,False,0.5630,False,top-3 avg score 0.5630 < final_threshold 0.6
property,scope,haslogicaloperator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6926; levenshtein=0.2778; semantic=0.5497; sequence_match=0.4348,False,0.5590,False,top-3 avg score 0.5590 < final_threshold 0.6
property,target,hasrole,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6429; levenshtein=0.2857; semantic=0.5684; sequence_match=0.4615,False,0.5576,False,top-3 avg score 0.5576 < final_threshold 0.6
property,hasconstraint,hasrole,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6330; levenshtein=0.3077; semantic=0.6386; sequence_match=0.4000,False,0.5572,False,top-3 avg score 0.5572 < final_threshold 0.6
property,obligation,violates,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6417; levenshtein=0.2000; semantic=0.5719; sequence_match=0.4444,False,0.5527,False,top-3 avg score 0.5527 < final_threshold 0.6
property,hasaction,haslogicaloperator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6270; levenshtein=0.2778; semantic=0.5802; sequence_match=0.4444,False,0.5505,False,top-3 avg score 0.5505 < final_threshold 0.6
property,inheritrelation,linkedto,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6528; levenshtein=0.2667; semantic=0.5603; sequence_match=0.4348,False,0.5493,False,top-3 avg score 0.5493 < final_threshold 0.6
property,haspermission,hasremedy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6538; levenshtein=0.3846; semantic=0.5373; sequence_match=0.4545,False,0.5486,False,top-3 avg score 0.5486 < final_threshold 0.6
property,hasconstraint,hasright,semantic+jaro_winkler+levenshtein,jaro_winkler=0.6032; levenshtein=0.3846; semantic=0.6576; sequence_match=0.3810,False,0.5485,False,top-3 avg score 0.5485 < final_threshold 0.6
property,failure,activatesuponfailureof,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5011; levenshtein=0.3182; semantic=0.6610; sequence_match=0.4828,False,0.5483,False,top-3 avg score 0.5483 < final_threshold 0.6
property,hasprohibition,hastype,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6190; levenshtein=0.2857; semantic=0.6434; sequence_match=0.3810,False,0.5478,False,top-3 avg score 0.5478 < final_threshold 0.6
property,haspermission,hasrole,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6330; levenshtein=0.3077; semantic=0.6078; sequence_match=0.4000,False,0.5469,False,top-3 avg score 0.5469 < final_threshold 0.6
property,scope,hasconsequence,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6952; levenshtein=0.2857; semantic=0.5229; sequence_match=0.4211,False,0.5464,False,top-3 avg score 0.5464 < final_threshold 0.6
property,hasoperator,hasnestedconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6328; levenshtein=0.3158; semantic=0.5379; sequence_match=0.4667,False,0.5458,False,top-3 avg score 0.5458 < final_threshold 0.6
property,haspermission,hasconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6447; levenshtein=0.3077; semantic=0.6044; sequence_match=0.3846,False,0.5446,False,top-3 avg score 0.5446 < final_threshold 0.6
property,assigner,hasoperator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6212; levenshtein=0.2727; semantic=0.5910; sequence_match=0.4211,False,0.5444,False,top-3 avg score 0.5444 < final_threshold 0.6
property,hasduty,hasconsequence,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6190; levenshtein=0.2857; semantic=0.6318; sequence_match=0.3810,False,0.5439,False,top-3 avg score 0.5439 < final_threshold 0.6
property,hasaction,hasnestedconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6678; levenshtein=0.3158; semantic=0.5349; sequence_match=0.4286,False,0.5438,False,top-3 avg score 0.5438 < final_threshold 0.6
property,partof,hasrole,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6429; levenshtein=0.2857; semantic=0.5235; sequence_match=0.4615,False,0.5426,False,top-3 avg score 0.5426 < final_threshold 0.6
property,assigner,hasconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6032; levenshtein=0.2308; semantic=0.5430; sequence_match=0.4762,False,0.5408,False,top-3 avg score 0.5408 < final_threshold 0.6
property,hasoperator,supports,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6265; levenshtein=0.2727; semantic=0.5671; sequence_match=0.4211,False,0.5382,False,top-3 avg score 0.5382 < final_threshold 0.6
property,haspermission,hasnestedconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6479; levenshtein=0.3158; semantic=0.5181; sequence_match=0.4375,False,0.5345,False,top-3 avg score 0.5345 < final_threshold 0.6
property,hasduty,supports,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6012; levenshtein=0.1250; semantic=0.5980; sequence_match=0.4000,False,0.5331,False,top-3 avg score 0.5331 < final_threshold 0.6
property,hasaction,activatesuponfailureof,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6675; levenshtein=0.1818; semantic=0.5432; sequence_match=0.3871,False,0.5326,False,top-3 avg score 0.5326 < final_threshold 0.6
property,haspermission,haslogicaloperator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6033; levenshtein=0.2222; semantic=0.5389; sequence_match=0.4516,False,0.5313,False,top-3 avg score 0.5313 < final_threshold 0.6
property,assigner,haslogicaloperator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6389; levenshtein=0.2778; semantic=0.5699; sequence_match=0.3846,False,0.5311,False,top-3 avg score 0.5311 < final_threshold 0.6
property,relation,linkedto,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5833; levenshtein=0.0000; semantic=0.6345; sequence_match=0.3750,False,0.5309,False,top-3 avg score 0.5309 < final_threshold 0.6
property,assigner,hastype,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6012; levenshtein=0.2500; semantic=0.5912; sequence_match=0.4000,False,0.5308,False,top-3 avg score 0.5308 < final_threshold 0.6
property,operand,playedby,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6071; levenshtein=0.1250; semantic=0.5769; sequence_match=0.4000,False,0.5280,False,top-3 avg score 0.5280 < final_threshold 0.6
property,inheritsfrom,ispartof,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6139; levenshtein=0.3333; semantic=0.5632; sequence_match=0.4000,False,0.5257,False,top-3 avg score 0.5257 < final_threshold 0.6
property,assignee,hasconsequence,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6706; levenshtein=0.3571; semantic=0.4514; sequence_match=0.4545,False,0.5255,False,top-3 avg score 0.5255 < final_threshold 0.6
property,inheritrelation,hasoperator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6058; levenshtein=0.3333; semantic=0.5058; sequence_match=0.4615,False,0.5244,False,top-3 avg score 0.5244 < final_threshold 0.6
property,assignee,hastype,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6012; levenshtein=0.2500; semantic=0.5703; sequence_match=0.4000,False,0.5238,False,top-3 avg score 0.5238 < final_threshold 0.6
property,assignee,hasrole,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6012; levenshtein=0.2500; semantic=0.5679; sequence_match=0.4000,False,0.5230,False,top-3 avg score 0.5230 < final_threshold 0.6
property,hasconstraint,hasremedy,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5840; levenshtein=0.2308; semantic=0.6201; sequence_match=0.3636,False,0.5226,False,top-3 avg score 0.5226 < final_threshold 0.6
property,haspermission,specifies,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6538; levenshtein=0.3846; semantic=0.4558; sequence_match=0.4545,False,0.5214,False,top-3 avg score 0.5214 < final_threshold 0.6
property,obligation,linkedto,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6333; levenshtein=0.2000; semantic=0.4862; sequence_match=0.4444,False,0.5213,False,top-3 avg score 0.5213 < final_threshold 0.6
property,haspermission,supports,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6026; levenshtein=0.2308; semantic=0.5736; sequence_match=0.3810,False,0.5190,False,top-3 avg score 0.5190 < final_threshold 0.6
property,inheritsfrom,hasoperator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5970; levenshtein=0.1667; semantic=0.5240; sequence_match=0.4348,False,0.5186,False,top-3 avg score 0.5186 < final_threshold 0.6
property,failure,hasrole,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6310; levenshtein=0.2857; semantic=0.4959; sequence_match=0.4286,False,0.5185,False,top-3 avg score 0.5185 < final_threshold 0.6
property,assignee,hasremedy,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6481; levenshtein=0.2222; semantic=0.4325; sequence_match=0.4706,False,0.5171,False,top-3 avg score 0.5171 < final_threshold 0.6
property,hasduty,hasnestedconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5925; levenshtein=0.2632; semantic=0.5675; sequence_match=0.3846,False,0.5149,False,top-3 avg score 0.5149 < final_threshold 0.6
property,hasprohibition,supports,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5940; levenshtein=0.2143; semantic=0.5864; sequence_match=0.3636,False,0.5147,False,top-3 avg score 0.5147 < final_threshold 0.6
property,hasoperator,hasremedy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6034; levenshtein=0.3636; semantic=0.5405; sequence_match=0.4000,False,0.5146,False,top-3 avg score 0.5146 < final_threshold 0.6
property,targetpolicy,hasrole,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6437; levenshtein=0.2500; semantic=0.4765; sequence_match=0.4211,False,0.5137,False,top-3 avg score 0.5137 < final_threshold 0.6
property,and,hasduty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6508; levenshtein=0.2857; semantic=0.4884; sequence_match=0.4000,False,0.5131,False,top-3 avg score 0.5131 < final_threshold 0.6
property,partof,supports,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6389; levenshtein=0.2500; semantic=0.4707; sequence_match=0.4286,False,0.5127,False,top-3 avg score 0.5127 < final_threshold 0.6
property,scope,isexclusive,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5131; levenshtein=0.2727; semantic=0.6485; sequence_match=0.3750,False,0.5122,False,top-3 avg score 0.5122 < final_threshold 0.6
property,target,ispartof,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6250; levenshtein=0.2500; semantic=0.4818; sequence_match=0.4286,False,0.5118,False,top-3 avg score 0.5118 < final_threshold 0.6
property,assigner,hasrole,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6012; levenshtein=0.2500; semantic=0.5282; sequence_match=0.4000,False,0.5098,False,top-3 avg score 0.5098 < final_threshold 0.6
property,handlepolicyconflicts,hasnestedconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6100; levenshtein=0.2857; semantic=0.4656; sequence_match=0.4500,False,0.5085,False,top-3 avg score 0.5085 < final_threshold 0.6
property,hasprohibition,hasremedy,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5767; levenshtein=0.2857; semantic=0.5988; sequence_match=0.3478,False,0.5078,False,top-3 avg score 0.5078 < final_threshold 0.6
property,assignee,hasconstraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5192; levenshtein=0.2308; semantic=0.5277; sequence_match=0.4762,False,0.5077,False,top-3 avg score 0.5077 < final_threshold 0.6
property,scope,hasconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6103; levenshtein=0.2308; semantic=0.5764; sequence_match=0.3333,False,0.5067,False,top-3 avg score 0.5067 < final_threshold 0.6
property,failure,isexclusive,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5617; levenshtein=0.2727; semantic=0.5130; sequence_match=0.4444,False,0.5064,False,top-3 avg score 0.5064 < final_threshold 0.6
property,hasoperator,hasconsequence,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6039; levenshtein=0.3571; semantic=0.5137; sequence_match=0.4000,False,0.5059,False,top-3 avg score 0.5059 < final_threshold 0.6
property,hasprohibition,hasconsequence,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5714; levenshtein=0.2143; semantic=0.5861; sequence_match=0.3571,False,0.5049,False,top-3 avg score 0.5049 < final_threshold 0.6
property,hasconstraint,supports,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6032; levenshtein=0.1538; semantic=0.6246; sequence_match=0.2857,False,0.5045,False,top-3 avg score 0.5045 < final_threshold 0.6
property,handlepolicyconflicts,hasconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6238; levenshtein=0.2381; semantic=0.4766; sequence_match=0.4118,False,0.5040,False,top-3 avg score 0.5040 < final_threshold 0.6
property,relation,ispartof,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5833; levenshtein=0.2500; semantic=0.5463; sequence_match=0.3750,False,0.5016,False,top-3 avg score 0.5016 < final_threshold 0.6
property,target,hasremedy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6111; levenshtein=0.3333; semantic=0.4906; sequence_match=0.4000,False,0.5006,False,top-3 avg score 0.5006 < final_threshold 0.6
property,assignee,isexclusive,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5379; levenshtein=0.1818; semantic=0.5422; sequence_match=0.4211,False,0.5004,False,top-3 avg score 0.5004 < final_threshold 0.6
property,inheritsfrom,hasrole,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5516; levenshtein=0.2500; semantic=0.5226; sequence_match=0.4211,False,0.4984,False,top-3 avg score 0.4984 < final_threshold 0.6
property,hasprohibition,haslogicaloperator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5886; levenshtein=0.2778; semantic=0.5297; sequence_match=0.3750,False,0.4978,False,top-3 avg score 0.4978 < final_threshold 0.6
property,assigner,hasnestedconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6330; levenshtein=0.2632; semantic=0.4882; sequence_match=0.3704,False,0.4972,False,top-3 avg score 0.4972 < final_threshold 0.6
property,inheritsfrom,hasright,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5472; levenshtein=0.1667; semantic=0.5428; sequence_match=0.4000,False,0.4967,False,top-3 avg score 0.4967 < final_threshold 0.6
property,target,hastype,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5317; levenshtein=0.1429; semantic=0.6487; sequence_match=0.3077,False,0.4961,False,top-3 avg score 0.4961 < final_threshold 0.6
property,hasprohibition,hasnestedconstraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5276; levenshtein=0.2632; semantic=0.5966; sequence_match=0.3636,False,0.4959,False,top-3 avg score 0.4959 < final_threshold 0.6
property,and,linkedto,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6389; levenshtein=0.2500; semantic=0.4843; sequence_match=0.3636,False,0.4956,False,top-3 avg score 0.4956 < final_threshold 0.6
property,assignee,hasnestedconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6330; levenshtein=0.2105; semantic=0.4795; sequence_match=0.3704,False,0.4943,False,top-3 avg score 0.4943 < final_threshold 0.6
property,onlyone,playedby,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6012; levenshtein=0.1250; semantic=0.4814; sequence_match=0.4000,False,0.4942,False,top-3 avg score 0.4942 < final_threshold 0.6
property,assigner,hasconsequence,jaro_winkler+sequence_match+semantic,jaro_winkler=0.5940; levenshtein=0.2857; semantic=0.4269; sequence_match=0.4545,False,0.4918,False,top-3 avg score 0.4918 < final_threshold 0.6
property,hasoperator,ispartof,jaro_winkler+levenshtein+sequence_match,jaro_winkler=0.5985; levenshtein=0.4545; semantic=0.4027; sequence_match=0.4211,False,0.4914,False,top-3 avg score 0.4914 < final_threshold 0.6
property,hasaction,hasremedy,semantic+jaro_winkler+levenshtein,jaro_winkler=0.5556; levenshtein=0.3333; semantic=0.5844; sequence_match=0.3333,False,0.4911,False,top-3 avg score 0.4911 < final_threshold 0.6
property,relation,violates,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5833; levenshtein=0.2500; semantic=0.5144; sequence_match=0.3750,False,0.4909,False,top-3 avg score 0.4909 < final_threshold 0.6
property,failure,hasremedy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5873; levenshtein=0.2222; semantic=0.5091; sequence_match=0.3750,False,0.4905,False,top-3 avg score 0.4905 < final_threshold 0.6
property,onlyone,violates,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6012; levenshtein=0.1250; semantic=0.4659; sequence_match=0.4000,False,0.4890,False,top-3 avg score 0.4890 < final_threshold 0.6
property,and,playedby,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6389; levenshtein=0.2500; semantic=0.4639; sequence_match=0.3636,False,0.4888,False,top-3 avg score 0.4888 < final_threshold 0.6
